block_id,corridor_id,date,start_time,end_time,duration_min,traffic_level,train_conflict_count,block_type,existing_block,allowed_departments,status
BLK0001,COR_18,2026-09-24,06:15,09:15,180,Low,3,Engineering,Yes,Signal,Available
BLK0002,COR_01,2026-09-04,12:30,16:00,210,Low,3,Signal,Yes,Traction|Signal,Available
BLK0003,COR_04,2026-09-10,13:45,15:45,120,Med,6,Signal,Yes,Traction,Available
BLK0004,COR_11,2026-09-24,12:15,15:45,210,Low,6,Traction,No,Signal|Engineering|Traction,Available
BLK0005,COR_17,2026-09-22,14:15,16:45,150,Med,0,Signal,Yes,Signal,Available
BLK0006,COR_02,2026-09-17,07:00,10:00,180,Low,3,Traction,Yes,Engineering|Traction,Booked
BLK0007,COR_05,2026-09-23,14:30,18:00,210,Low,5,Engineering,No,Traction|Signal,Booked
BLK0008,COR_07,2026-09-11,10:15,12:15,120,Med,5,Signal,No,Traction|Engineering|Signal,Available
BLK0009,COR_03,2026-09-09,14:00,17:30,210,High,0,Signal,Yes,Engineering,Available
BLK0010,COR_08,2026-09-09,18:15,21:15,180,Med,3,Combined,No,Engineering|Traction|Signal,Available
BLK0011,COR_07,2026-09-11,09:45,11:45,120,Low,6,Combined,Yes,Signal|Traction,Available
BLK0012,COR_05,2026-09-18,13:45,16:45,180,High,6,Combined,Yes,Signal|Engineering,Booked
BLK0013,COR_18,2026-09-13,19:15,22:15,180,Med,2,Combined,No,Signal|Traction,Available
BLK0014,COR_16,2026-09-19,02:15,04:15,120,Low,1,Engineering,Yes,Traction|Signal|Engineering,Available
BLK0015,COR_13,2026-09-17,12:30,16:00,210,Low,5,Engineering,No,Engineering,Available
BLK0016,COR_09,2026-09-22,05:45,07:15,90,Med,6,Traction,No,Traction|Signal,Booked
BLK0017,COR_08,2026-09-24,12:15,14:45,150,Low,6,Traction,No,Engineering|Traction|Signal,Booked
BLK0018,COR_01,2026-09-08,08:15,09:45,90,Low,0,Combined,No,Engineering|Traction|Signal,Available
BLK0019,COR_17,2026-09-17,08:30,12:00,210,High,5,Combined,No,Signal|Engineering|Traction,Booked
BLK0020,COR_13,2026-09-15,04:15,06:15,120,Med,0,Signal,No,Engineering,Available
BLK0021,COR_14,2026-09-17,16:30,19:00,150,Low,2,Signal,No,Signal,Available
BLK0022,COR_06,2026-09-07,14:15,17:15,180,Low,5,Signal,No,Signal,Locked
BLK0023,COR_06,2026-09-17,14:00,17:30,210,Low,0,Combined,Yes,Signal,Available
BLK0024,COR_01,2026-09-11,15:00,17:30,150,Low,6,Engineering,No,Engineering,Available
BLK0025,COR_16,2026-09-04,12:30,15:30,180,Low,2,Combined,No,Signal|Traction|Engineering,Locked
BLK0026,COR_12,2026-09-16,12:00,15:00,180,High,6,Engineering,Yes,Signal|Engineering|Traction,Booked
BLK0027,COR_12,2026-09-20,08:15,11:45,210,Low,5,Combined,No,Engineering|Traction|Signal,Available
BLK0028,COR_15,2026-09-15,01:30,05:30,240,Low,3,Combined,No,Signal,Available
BLK0029,COR_10,2026-09-19,03:45,07:15,210,Med,5,Signal,No,Traction|Engineering|Signal,Available
BLK0030,COR_06,2026-09-06,09:45,13:45,240,High,0,Combined,No,Engineering,Available
BLK0031,COR_06,2026-09-06,03:00,05:30,150,High,2,Combined,No,Traction,Available
BLK0032,COR_18,2026-09-19,03:15,06:45,210,Med,3,Engineering,No,Engineering|Traction,Booked
BLK0033,COR_08,2026-09-16,12:45,16:15,210,Low,0,Traction,Yes,Signal,Booked
