corridor_id,station_from,station_to,distance_km,track_count,electrified,section_type,traffic_density
COR_01,Station_O,Station_P,175.8,3,Yes,Single,High
COR_02,Station_P,Station_V,192.6,1,No,Triple,Low
COR_03,Station_V,Station_Q,38.6,3,Yes,Triple,High
COR_04,Station_Q,Station_F,98.7,2,Yes,Double,High
COR_05,Station_F,Station_T,19.7,3,Yes,Triple,Med
COR_06,Station_T,Station_C,97.6,1,Yes,Triple,Low
COR_07,Station_C,Station_A,191.5,2,Yes,Double,Med
COR_08,Station_A,Station_S,180.6,1,Yes,Single,Med
COR_09,Station_S,Station_K,44.4,3,No,Single,Low
COR_10,Station_K,Station_B,86.6,3,Yes,Double,Med
COR_11,Station_B,Station_H,150.2,1,No,Triple,High
COR_12,Station_H,Station_J,207.1,3,Yes,Triple,Low
COR_13,Station_J,Station_I,29.9,3,No,Single,Low
COR_14,Station_I,Station_R,132.0,2,Yes,Double,High
COR_15,Station_R,Station_N,210.8,3,Yes,Triple,Low
COR_16,Station_N,Station_D,103.1,3,Yes,Triple,High
COR_17,Station_D,Station_L,210.4,1,No,Single,High
COR_18,Station_L,Station_E,178.7,3,Yes,Single,Med
COR_19,Station_E,Station_M,126.2,3,Yes,Triple,Low
COR_20,Station_M,Station_X,213.7,3,Yes,Triple,Med
