task_id,asset_id,corridor_id,location_km,asset_type,defect_type,maintenance_type,criticality,urgency,safety_risk,due_date,overdue_days,estimated_duration_min,crew_required,status
SMMS0001,SIG_153,COR_20,106.2,Point,Cable Fault,Corrective,2,3,1,2026-09-04,0,45,4,Scheduled
SMMS0002,SIG_199,COR_14,107.4,Interlock,Interlocking Fault,Preventive,4,5,2,2026-09-15,0,120,3,Pending
SMMS0003,SIG_096,COR_11,151.6,Signal,Cable Fault,Corrective,4,2,2,2026-09-03,1,180,5,Completed
SMMS0004,SIG_254,COR_14,123.2,Interlock,Interlocking Fault,Emergency,2,1,5,2026-09-15,0,30,8,In Progress
SMMS0005,SIG_017,COR_09,40.5,Cable,Point Malfunction,Emergency,5,4,5,2026-09-08,0,120,2,Scheduled
SMMS0006,SIG_279,COR_12,97.6,Signal,Interlocking Fault,Preventive,4,1,2,2026-09-07,0,60,8,Completed
SMMS0007,SIG_135,COR_12,155.2,Signal,Interlocking Fault,Corrective,2,2,5,2026-09-13,0,150,4,In Progress
SMMS0008,SIG_220,COR_06,110.9,Point,Point Malfunction,Corrective,5,3,5,2026-09-18,0,60,6,Scheduled
SMMS0009,SIG_150,COR_10,103.1,Signal,Point Malfunction,Emergency,1,3,2,2026-09-09,0,150,8,Pending
SMMS0010,SIG_165,COR_08,137.1,Interlock,Interlocking Fault,Preventive,5,3,4,2026-09-03,1,90,5,Pending
SMMS0011,SIG_207,COR_17,135.0,Cable,Interlocking Fault,Emergency,3,5,1,2026-09-01,3,180,8,In Progress
SMMS0012,SIG_235,COR_12,153.0,Interlock,Point Malfunction,Emergency,2,4,3,2026-09-01,3,60,8,Pending
SMMS0013,SIG_296,COR_05,101.9,Interlock,Cable Fault,Corrective,1,1,4,2026-09-16,0,30,2,Completed
SMMS0014,SIG_226,COR_15,0.1,Interlock,Point Malfunction,Preventive,3,2,3,2026-09-04,0,30,7,Pending
SMMS0015,SIG_191,COR_06,9.3,Cable,Point Malfunction,Emergency,1,1,1,2026-09-01,3,45,5,Pending
SMMS0016,SIG_116,COR_17,122.4,Signal,Signal Failure,Predictive,1,4,2,2026-09-17,0,90,2,Pending
SMMS0017,SIG_053,COR_04,56.4,Cable,Point Malfunction,Emergency,2,2,1,2026-09-01,3,120,6,Pending
SMMS0018,SIG_085,COR_15,63.2,Point,Point Malfunction,Emergency,5,4,2,2026-09-19,0,30,2,Pending
SMMS0019,SIG_197,COR_12,173.4,Cable,Point Malfunction,Preventive,3,1,2,2026-09-02,2,120,6,Scheduled
SMMS0020,SIG_146,COR_01,152.6,Cable,Point Malfunction,Preventive,4,3,1,2026-09-18,0,180,8,Completed
SMMS0021,SIG_198,COR_04,43.4,Signal,Axle Counter Fault,Corrective,3,3,2,2026-09-14,0,90,8,In Progress
SMMS0022,SIG_188,COR_18,122.9,Interlock,Signal Failure,Corrective,5,1,1,2026-09-12,0,60,3,Pending
SMMS0023,SIG_204,COR_17,51.6,Interlock,Interlocking Fault,Emergency,1,5,5,2026-08-31,4,120,3,Pending
SMMS0024,SIG_041,COR_17,165.8,Point,Axle Counter Fault,Predictive,4,5,1,2026-09-08,0,60,7,Pending
SMMS0025,SIG_030,COR_08,15.5,Interlock,Signal Failure,Emergency,5,5,1,2026-09-06,0,60,7,Scheduled
SMMS0026,SIG_062,COR_01,127.4,Signal,Point Malfunction,Emergency,3,5,5,2026-09-04,0,180,8,Scheduled
SMMS0027,SIG_191,COR_05,135.0,Cable,Signal Failure,Corrective,3,4,3,2026-09-04,0,120,2,Pending
SMMS0028,SIG_040,COR_16,81.9,Cable,Signal Failure,Emergency,5,2,3,2026-09-17,0,45,4,In Progress
SMMS0029,SIG_060,COR_08,133.3,Signal,Signal Failure,Corrective,2,1,4,2026-09-17,0,60,5,Completed
SMMS0030,SIG_019,COR_18,144.6,Interlock,Point Malfunction,Predictive,2,4,3,2026-09-04,0,60,8,Pending
SMMS0031,SIG_062,COR_17,121.2,Signal,Point Malfunction,Preventive,5,1,4,2026-09-10,0,30,5,In Progress
SMMS0032,SIG_168,COR_03,99.6,Signal,Cable Fault,Preventive,3,5,3,2026-09-08,0,150,6,Pending
SMMS0033,SIG_253,COR_07,131.8,Point,Point Malfunction,Corrective,4,1,2,2026-09-10,0,120,4,Scheduled
SMMS0034,SIG_172,COR_01,136.6,Interlock,Cable Fault,Corrective,2,5,2,2026-08-30,5,90,5,Completed
SMMS0035,SIG_144,COR_03,7.9,Point,Axle Counter Fault,Emergency,3,4,1,2026-09-03,1,120,2,Scheduled
SMMS0036,SIG_202,COR_03,106.5,Signal,Interlocking Fault,Preventive,2,3,3,2026-09-19,0,180,4,Completed
SMMS0037,SIG_168,COR_11,81.5,Point,Signal Failure,Preventive,2,5,1,2026-09-11,0,45,2,Pending
SMMS0038,SIG_161,COR_14,21.7,Cable,Point Malfunction,Emergency,3,4,3,2026-09-13,0,180,2,Pending
SMMS0039,SIG_021,COR_07,150.5,Cable,Point Malfunction,Corrective,2,3,4,2026-09-08,0,120,2,Scheduled
SMMS0040,SIG_090,COR_01,171.4,Interlock,Axle Counter Fault,Preventive,1,4,1,2026-09-07,0,180,8,Pending
SMMS0041,SIG_032,COR_08,23.5,Interlock,Cable Fault,Corrective,5,5,3,2026-08-30,5,180,2,Pending
SMMS0042,SIG_102,COR_15,145.7,Signal,Cable Fault,Corrective,1,4,1,2026-09-01,3,45,6,Pending
SMMS0043,SIG_255,COR_01,68.9,Interlock,Point Malfunction,Predictive,2,2,3,2026-09-11,0,60,5,In Progress
SMMS0044,SIG_126,COR_10,89.8,Interlock,Signal Failure,Corrective,3,4,2,2026-08-31,4,90,3,Scheduled
SMMS0045,SIG_128,COR_18,143.1,Interlock,Cable Fault,Emergency,5,4,3,2026-09-15,0,120,6,Pending
SMMS0046,SIG_093,COR_01,57.4,Point,Signal Failure,Predictive,1,4,5,2026-09-07,0,60,8,Scheduled
SMMS0047,SIG_082,COR_04,44.6,Point,Cable Fault,Corrective,2,5,4,2026-09-06,0,60,8,Completed
SMMS0048,SIG_091,COR_08,106.7,Cable,Axle Counter Fault,Corrective,3,5,5,2026-09-04,0,45,6,Completed
SMMS0049,SIG_278,COR_10,31.6,Signal,Signal Failure,Corrective,2,5,2,2026-09-14,0,30,6,Pending
SMMS0050,SIG_104,COR_05,61.3,Point,Cable Fault,Corrective,1,2,5,2026-09-09,0,150,3,In Progress
SMMS0051,SIG_187,COR_03,67.2,Interlock,Axle Counter Fault,Corrective,3,3,3,2026-09-15,0,45,3,Scheduled
SMMS0052,SIG_250,COR_11,31.4,Cable,Point Malfunction,Preventive,4,3,3,2026-09-12,0,45,3,Scheduled
SMMS0053,SIG_201,COR_19,5.8,Cable,Axle Counter Fault,Preventive,5,1,4,2026-09-17,0,45,4,Scheduled
SMMS0054,SIG_178,COR_11,30.2,Signal,Cable Fault,Emergency,1,3,2,2026-09-06,0,45,7,Pending
SMMS0055,SIG_056,COR_01,8.7,Interlock,Interlocking Fault,Preventive,4,4,4,2026-09-07,0,60,6,Pending
SMMS0056,SIG_296,COR_08,29.3,Signal,Signal Failure,Predictive,1,3,3,2026-09-14,0,30,2,Pending
SMMS0057,SIG_083,COR_03,98.5,Signal,Cable Fault,Emergency,1,4,2,2026-09-11,0,120,5,Pending
SMMS0058,SIG_170,COR_07,175.4,Interlock,Axle Counter Fault,Predictive,3,3,2,2026-09-02,2,30,2,Pending
SMMS0059,SIG_252,COR_05,9.8,Signal,Interlocking Fault,Corrective,3,5,4,2026-09-16,0,45,2,Pending
