task_id,asset_id,corridor_id,location_km,asset_type,defect_type,maintenance_type,criticality,urgency,safety_risk,due_date,overdue_days,estimated_duration_min,crew_required,status
TDMS0001,OHE_267,COR_10,4.0,Insulator,OHE Wire Sag,Predictive,2,2,3,2026-09-02,2,60,6,Pending
TDMS0002,OHE_061,COR_09,26.9,Insulator,Catenary Damage,Corrective,5,5,5,2026-09-13,0,30,3,Scheduled
TDMS0003,OHE_164,COR_09,25.5,Insulator,Pole Damage,Preventive,2,1,3,2026-09-16,0,120,4,Scheduled
TDMS0004,OHE_067,COR_01,84.7,OHE,Catenary Damage,Emergency,1,1,4,2026-08-31,4,90,3,Scheduled
TDMS0005,OHE_229,COR_20,64.0,Insulator,OHE Wire Sag,Corrective,4,5,2,2026-09-17,0,30,8,In Progress
TDMS0006,OHE_050,COR_15,55.9,Pole,Feeder Fault,Preventive,2,2,5,2026-09-13,0,60,4,Pending
TDMS0007,OHE_167,COR_15,87.8,OHE,Feeder Fault,Corrective,3,4,4,2026-09-09,0,180,3,Pending
TDMS0008,OHE_295,COR_05,91.4,Pole,Catenary Damage,Predictive,5,1,3,2026-09-10,0,120,5,Pending
TDMS0009,OHE_123,COR_20,43.9,Feeder,Feeder Fault,Emergency,1,3,2,2026-09-12,0,180,7,Scheduled
TDMS0010,OHE_291,COR_11,98.0,Feeder,OHE Wire Sag,Corrective,5,4,1,2026-09-12,0,120,6,Pending
TDMS0011,OHE_050,COR_15,31.7,Pole,Catenary Damage,Corrective,5,4,3,2026-09-16,0,90,7,Scheduled
TDMS0012,OHE_112,COR_05,159.7,OHE,OHE Wire Sag,Preventive,4,5,3,2026-09-01,3,90,6,Scheduled
TDMS0013,OHE_106,COR_11,54.0,Insulator,Feeder Fault,Predictive,1,5,1,2026-09-05,0,120,6,Pending
TDMS0014,OHE_151,COR_02,66.5,OHE,Catenary Damage,Predictive,1,3,1,2026-09-03,1,45,5,Scheduled
TDMS0015,OHE_163,COR_13,73.1,Pole,Pole Damage,Preventive,2,4,2,2026-09-11,0,45,6,Pending
TDMS0016,OHE_214,COR_05,51.9,Feeder,OHE Wire Sag,Corrective,1,1,2,2026-09-10,0,150,5,Scheduled
TDMS0017,OHE_044,COR_05,115.6,Pole,Feeder Fault,Emergency,5,2,4,2026-09-03,1,120,5,Scheduled
TDMS0018,OHE_197,COR_12,40.6,Pole,Pole Damage,Corrective,5,4,2,2026-09-13,0,150,6,Pending
TDMS0019,OHE_296,COR_12,6.0,OHE,Pole Damage,Emergency,3,1,5,2026-09-16,0,90,7,Pending
TDMS0020,OHE_144,COR_15,93.1,OHE,OHE Wire Sag,Emergency,1,5,5,2026-09-15,0,60,6,Pending
TDMS0021,OHE_274,COR_01,84.4,Pole,Pole Damage,Predictive,4,3,3,2026-09-09,0,60,3,Pending
TDMS0022,OHE_156,COR_19,46.9,Pole,Pole Damage,Preventive,5,1,3,2026-09-18,0,180,7,Scheduled
TDMS0023,OHE_249,COR_03,22.8,OHE,Insulator Failure,Predictive,2,5,3,2026-09-08,0,60,8,Pending
TDMS0024,OHE_090,COR_19,133.0,Pole,Insulator Failure,Preventive,3,2,4,2026-09-02,2,45,8,Scheduled
TDMS0025,OHE_176,COR_03,174.1,Feeder,Feeder Fault,Emergency,4,2,4,2026-08-31,4,150,7,Pending
TDMS0026,OHE_177,COR_02,115.6,OHE,Catenary Damage,Preventive,4,4,4,2026-09-17,0,60,5,Scheduled
TDMS0027,OHE_120,COR_13,123.0,Pole,Feeder Fault,Predictive,2,5,4,2026-09-16,0,30,4,Completed
TDMS0028,OHE_196,COR_11,173.1,OHE,Catenary Damage,Predictive,4,5,3,2026-09-13,0,60,4,Pending
