task_id,asset_id,corridor_id,location_km,defect_type,maintenance_type,criticality,urgency,safety_risk,due_date,overdue_days,estimated_duration_min,crew_required,status
TMS0001,TRK_058,COR_01,133.5,Ballast Deficiency,Preventive,2,1,5,2026-09-19,0,30,6,Pending
TMS0002,TRK_048,COR_07,41.9,Rail Wear,Corrective,5,2,5,2026-08-30,5,90,3,Pending
TMS0003,TRK_004,COR_06,125.7,Track Geometry Fault,Predictive,2,2,3,2026-09-07,0,30,2,Pending
TMS0004,TRK_177,COR_20,47.6,Rail Crack,Emergency,5,1,4,2026-09-10,0,30,6,Pending
TMS0005,TRK_186,COR_19,34.6,Rail Crack,Corrective,2,3,1,2026-09-19,0,180,3,In Progress
TMS0006,TRK_143,COR_15,114.4,Track Geometry Fault,Preventive,3,3,2,2026-09-11,0,150,4,Scheduled
TMS0007,TRK_037,COR_20,114.3,Rail Wear,Preventive,2,4,4,2026-09-19,0,60,7,Scheduled
TMS0008,TRK_167,COR_02,41.2,Rail Crack,Predictive,4,3,1,2026-09-06,0,45,6,In Progress
TMS0009,TRK_109,COR_16,71.2,Weld Failure,Preventive,3,2,2,2026-09-09,0,150,6,Scheduled
TMS0010,TRK_220,COR_19,71.9,Ballast Deficiency,Preventive,5,4,1,2026-09-17,0,180,2,In Progress
TMS0011,TRK_082,COR_14,107.4,Weld Failure,Emergency,5,4,5,2026-09-03,1,60,6,In Progress
TMS0012,TRK_059,COR_18,135.2,Track Geometry Fault,Corrective,3,4,2,2026-08-30,5,90,2,Completed
TMS0013,TRK_257,COR_06,91.4,Rail Crack,Predictive,5,5,2,2026-09-07,0,45,4,In Progress
TMS0014,TRK_272,COR_01,107.8,Weld Failure,Corrective,1,3,3,2026-09-16,0,45,2,Pending
TMS0015,TRK_041,COR_03,131.7,Rail Crack,Preventive,2,4,5,2026-09-17,0,45,4,Scheduled
TMS0016,TRK_217,COR_07,167.2,Ballast Deficiency,Predictive,4,3,4,2026-09-18,0,120,5,Pending
TMS0017,TRK_033,COR_11,3.8,Rail Wear,Preventive,5,2,1,2026-09-06,0,30,7,Scheduled
TMS0018,TRK_035,COR_02,154.7,Rail Crack,Preventive,3,4,2,2026-09-06,0,120,3,Scheduled
TMS0019,TRK_296,COR_16,43.7,Weld Failure,Emergency,2,1,1,2026-09-17,0,150,5,Pending
TMS0020,TRK_240,COR_02,121.2,Rail Crack,Corrective,4,3,1,2026-09-12,0,45,3,Pending
TMS0021,TRK_072,COR_14,33.0,Weld Failure,Preventive,1,4,5,2026-09-13,0,30,2,Scheduled
TMS0022,TRK_008,COR_03,166.7,Ballast Deficiency,Preventive,4,4,4,2026-09-16,0,45,8,Pending
TMS0023,TRK_085,COR_13,0.4,Weld Failure,Predictive,4,3,4,2026-08-31,4,150,7,Completed
TMS0024,TRK_250,COR_05,34.2,Ballast Deficiency,Corrective,5,5,1,2026-09-16,0,150,4,Pending
TMS0025,TRK_245,COR_17,165.5,Rail Wear,Preventive,1,5,1,2026-09-17,0,180,3,Pending
TMS0026,TRK_121,COR_13,21.6,Rail Wear,Preventive,5,5,1,2026-09-01,3,120,2,Pending
TMS0027,TRK_290,COR_17,56.9,Track Geometry Fault,Preventive,3,2,3,2026-09-17,0,90,3,Scheduled
TMS0028,TRK_235,COR_11,167.2,Rail Crack,Corrective,4,5,5,2026-09-08,0,30,2,Scheduled
TMS0029,TRK_136,COR_05,168.0,Rail Crack,Preventive,3,3,2,2026-09-15,0,90,8,Scheduled
TMS0030,TRK_271,COR_01,120.2,Rail Wear,Predictive,1,2,3,2026-09-08,0,30,2,Scheduled
TMS0031,TRK_140,COR_10,108.9,Track Geometry Fault,Preventive,3,5,4,2026-09-03,1,60,8,Pending
TMS0032,TRK_217,COR_09,7.9,Track Geometry Fault,Preventive,3,2,4,2026-09-19,0,120,7,Pending
TMS0033,TRK_058,COR_03,170.1,Ballast Deficiency,Corrective,3,5,5,2026-08-30,5,45,5,Pending
TMS0034,TRK_187,COR_02,161.8,Ballast Deficiency,Preventive,1,3,5,2026-09-08,0,180,5,Completed
TMS0035,TRK_122,COR_06,175.7,Ballast Deficiency,Emergency,1,2,3,2026-09-03,1,180,5,In Progress
TMS0036,TRK_137,COR_06,141.7,Rail Crack,Emergency,1,4,2,2026-09-06,0,45,8,Completed
TMS0037,TRK_157,COR_08,40.1,Ballast Deficiency,Emergency,3,3,1,2026-09-10,0,180,4,Pending
TMS0038,TRK_205,COR_18,59.6,Rail Crack,Corrective,3,2,5,2026-09-15,0,60,2,Pending
TMS0039,TRK_177,COR_11,78.6,Rail Wear,Corrective,4,5,2,2026-09-12,0,60,2,Scheduled
TMS0040,TRK_267,COR_18,123.6,Ballast Deficiency,Predictive,4,1,3,2026-08-30,5,120,4,Scheduled
TMS0041,TRK_154,COR_17,55.7,Weld Failure,Predictive,4,3,5,2026-09-02,2,45,3,Pending
TMS0042,TRK_090,COR_20,102.4,Weld Failure,Corrective,3,3,2,2026-09-11,0,90,8,Scheduled
TMS0043,TRK_165,COR_15,79.5,Ballast Deficiency,Emergency,2,1,3,2026-09-19,0,120,7,Scheduled
TMS0044,TRK_048,COR_08,121.1,Ballast Deficiency,Preventive,2,1,1,2026-09-09,0,45,5,Scheduled
TMS0045,TRK_234,COR_14,159.5,Rail Wear,Preventive,4,4,4,2026-09-01,3,45,3,Scheduled
TMS0046,TRK_055,COR_14,39.4,Rail Wear,Emergency,1,5,2,2026-08-30,5,180,2,Pending
TMS0047,TRK_272,COR_18,107.2,Weld Failure,Emergency,5,4,2,2026-09-13,0,150,8,Pending
TMS0048,TRK_127,COR_09,137.8,Rail Wear,Emergency,2,3,4,2026-09-07,0,30,7,Pending
TMS0049,TRK_172,COR_11,160.7,Rail Crack,Preventive,2,2,4,2026-09-07,0,150,3,Scheduled
TMS0050,TRK_213,COR_14,59.6,Weld Failure,Emergency,1,2,4,2026-09-01,3,90,8,Scheduled
TMS0051,TRK_295,COR_13,85.9,Track Geometry Fault,Predictive,4,4,5,2026-08-30,5,150,7,Scheduled
TMS0052,TRK_113,COR_16,39.5,Weld Failure,Emergency,1,4,3,2026-09-18,0,150,7,In Progress
TMS0053,TRK_240,COR_05,176.5,Rail Wear,Corrective,4,5,5,2026-09-04,0,150,2,Pending
TMS0054,TRK_070,COR_15,32.7,Track Geometry Fault,Emergency,3,2,4,2026-09-12,0,60,4,In Progress
TMS0055,TRK_143,COR_14,45.4,Rail Crack,Emergency,1,5,1,2026-09-11,0,60,3,Scheduled
TMS0056,TRK_021,COR_01,170.9,Ballast Deficiency,Corrective,5,2,2,2026-09-19,0,45,5,Scheduled
TMS0057,TRK_112,COR_15,125.9,Track Geometry Fault,Preventive,5,5,1,2026-09-17,0,180,8,Pending
TMS0058,TRK_056,COR_19,4.6,Track Geometry Fault,Emergency,4,2,1,2026-09-08,0,120,7,In Progress
TMS0059,TRK_053,COR_10,153.1,Rail Wear,Corrective,5,1,3,2026-09-06,0,120,5,Scheduled
TMS0060,TRK_260,COR_11,2.3,Weld Failure,Emergency,1,4,3,2026-09-01,3,150,8,Pending
TMS0061,TRK_223,COR_06,132.1,Track Geometry Fault,Emergency,4,4,5,2026-09-03,1,60,4,In Progress
TMS0062,TRK_143,COR_15,43.9,Weld Failure,Emergency,3,1,4,2026-09-01,3,180,4,Pending
TMS0063,TRK_182,COR_09,61.3,Rail Wear,Predictive,5,1,5,2026-09-05,0,45,2,Pending
TMS0064,TRK_251,COR_18,136.5,Weld Failure,Emergency,4,1,1,2026-09-12,0,60,3,Pending
TMS0065,TRK_157,COR_19,66.4,Rail Wear,Predictive,4,5,3,2026-09-06,0,60,7,Pending
TMS0066,TRK_129,COR_08,21.7,Ballast Deficiency,Predictive,1,5,2,2026-09-08,0,45,3,Scheduled
TMS0067,TRK_269,COR_20,50.9,Rail Crack,Preventive,3,2,3,2026-09-07,0,45,4,Pending
TMS0068,TRK_065,COR_09,8.2,Rail Crack,Predictive,2,4,1,2026-09-16,0,180,2,Scheduled
