task_id,asset_id,asset_type,section_id,location_km,defect_type,criticality,urgency,status,table_name,section,detected_at,detected_local,trains_affected,required_action,block_required,nearest_crew_km,nearest_wagon_km,escalation,division,reported_by,request_id,corridor,defect,safety_impact,maintenance_type,duration_min,due_date,description,crew_required,crew_type,equipment,block_type,preferred_date,preferred_start,preferred_duration_min,min_duration_min,max_duration_min,flexibility,ai_priority,source
TMS-1042,RAIL-2381,Rail,C09,142.6,Rail Crack,Critical,Immediate,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OHE-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Emergency inspection / repair,True,3.2,5.7,request,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,OHE-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Emergency inspection / repair,True,3.2,5.7,block,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,block,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,DRN-09,Drainage,,12/4,,Medium,Within 3 Days,Submitted,maintenance_requests,,2026-09-19 09:14,,,,True,,,,SBC-SA,Engineering / Track (TMS),TMS-1054,Kazipet–Secunderabad,Rail Crack,Medium,Preventive Maintenance,320,2026-09-19,,2,Track Maintenance Gang,"[""Rail Cutting Equipment""]",,,,,,,Flexible,34,TMS
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,block,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,request,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,request,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,block,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-19T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,crew,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-26T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,block,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
,TRK-2381,,,142/6,,,,Active,breakdowns,KM 142–148,2026-09-26T05:12:00.000Z,10:42,7,Track protection and emergency rail inspection / repair,True,3.2,5.7,request,SBC-SA,Engineering / Track (TMS),,,,,,,,,,,,,,,,,,,,
